seed,name,n_sample,error,alpha_min,alpha_opt,alpha_max
1,cv,100,0.9978668430560483,0.00818440675210738,1.0230508440134225,8.18440675210738
1,cv-refit,100,0.9997275027059566,0.00818440675210738,1.0230508440134225,8.18440675210738
1,cv-single,100,0.9966548360503714,0.00818440675210738,2.046101688026845,8.18440675210738
1,cv-overfit,100,1.0056101664546016,1e-05,1e-05,8.184406752107376
1,oracle,100,0.9966576886817214,1e-05,2.046101688026844,8.184406752107376
1,theory-1,100,0.9999210679765151,-1.0,7.80348333686978,-1.0
1,theory-2,100,1.0,-1.0,15.60696667373956,-1.0
1,theory-3,100,1.0,-1.0,23.41045001060934,-1.0
1,cv,200,0.9959188370372662,0.009592633060729728,4.796316530364864,9.592633060729728
1,cv-refit,200,0.9980709613194443,0.009592633060729728,4.796316530364864,9.592633060729728
1,cv-single,200,1.0044915043512628,0.009592633060729728,2.398158265182432,9.592633060729728
1,cv-overfit,200,1.0297348189953346,1e-05,1e-05,9.595873192656136
1,oracle,200,0.9980711663321745,1e-05,4.797936596328068,9.595873192656136
1,theory-1,200,0.9996098243631889,-1.0,8.939228313355333,-1.0
1,theory-2,200,1.0,-1.0,17.878456626710665,-1.0
1,theory-3,200,1.0,-1.0,26.817684940066,-1.0
1,cv,300,1.0,0.011464834660740853,11.464834660740852,11.464834660740852
1,cv-refit,300,0.9999988938678726,0.011464834660740853,11.464834660740852,11.464834660740852
1,cv-single,300,1.0,0.011464834660740853,11.464834660740852,11.464834660740852
1,cv-overfit,300,1.082738069799149,1e-05,1e-05,11.467295771270567
1,oracle,300,1.0,1e-05,11.467295771270567,11.467295771270567
1,theory-1,300,0.9995680910139768,-1.0,10.066499658713433,-1.0
1,theory-2,300,1.0,-1.0,20.132999317426865,-1.0
1,theory-3,300,1.0,-1.0,30.199498976140298,-1.0
1,cv,400,1.0046421088976614,0.012262427315920857,6.131213657960428,12.262427315920856
1,cv-refit,400,1.0191148119705085,0.012262427315920857,6.131213657960428,12.262427315920856
1,cv-single,400,1.0,0.012262427315920857,12.262427315920856,12.262427315920856
1,cv-overfit,400,1.135342133955228,1e-05,1e-05,12.551585952979263
1,oracle,400,1.0,1e-05,12.551585952979263,12.551585952979263
1,theory-1,400,0.9994946195871736,-1.0,10.997868852630157,-1.0
1,theory-2,400,1.0,-1.0,21.995737705260314,-1.0
1,theory-3,400,1.0,-1.0,32.99360655789047,-1.0
1,cv,500,1.0036931830236393,0.014579694872098748,7.2898474360493735,14.579694872098747
1,cv-refit,500,1.0196122705123611,0.014579694872098748,7.2898474360493735,14.579694872098747
1,cv-single,500,1.019484216964108,0.014579694872098748,7.2898474360493735,14.579694872098747
1,cv-overfit,500,1.168417376950963,1e-05,1e-05,14.583266332189018
1,oracle,500,1.0,1e-05,14.583266332189018,14.583266332189018
1,theory-1,500,0.9987537970493092,-1.0,11.638095987299613,-1.0
1,theory-2,500,1.0,-1.0,23.276191974599225,-1.0
1,theory-3,500,1.0,-1.0,34.914287961898836,-1.0
1,cv,600,1.0060985384033918,0.014788486262319482,7.394243131159741,14.788486262319482
1,cv-refit,600,1.0268955470156018,0.014788486262319482,7.394243131159741,14.788486262319482
1,cv-single,600,1.0155208039417485,0.014788486262319482,7.394243131159741,14.788486262319482
1,cv-overfit,600,1.209052513793689,1e-05,1e-05,14.861764368329318
1,oracle,600,1.0,1e-05,14.861764368329318,14.861764368329318
1,theory-1,600,0.9976440951140758,-1.0,12.391317881659715,-1.0
1,theory-2,600,1.0,-1.0,24.78263576331943,-1.0
1,theory-3,600,1.0,-1.0,37.17395364497914,-1.0
1,cv,700,1.001418532175222,0.015068110330998415,7.534055165499208,15.068110330998415
1,cv-refit,700,1.0259698125297567,0.015068110330998415,7.534055165499208,15.068110330998415
1,cv-single,700,1.0175709228041183,0.015068110330998415,7.534055165499208,15.068110330998415
1,cv-overfit,700,1.2202658818502925,1e-05,1e-05,15.132092412043338
1,oracle,700,1.0,1e-05,15.132092412043338,15.132092412043338
1,theory-1,700,0.998818208191445,-1.0,13.022384030096063,-1.0
1,theory-2,700,1.0,-1.0,26.044768060192126,-1.0
1,theory-3,700,1.0,-1.0,39.06715209028819,-1.0
1,cv,800,1.0,0.015785210877150874,15.785210877150874,15.785210877150874
1,cv-refit,800,0.9998752370297364,0.015785210877150874,15.785210877150874,15.785210877150874
1,cv-single,800,1.0,0.015785210877150874,15.785210877150874,15.785210877150874
1,cv-overfit,800,1.23357505697755,1e-05,1e-05,15.91147662837329
1,oracle,800,1.0,1e-05,15.91147662837329,15.91147662837329
1,theory-1,800,0.9968877183117553,-1.0,13.664913459169384,-1.0
1,theory-2,800,1.0,-1.0,27.329826918338767,-1.0
1,theory-3,800,1.0,-1.0,40.99474037750815,-1.0
1,cv,900,1.0041402903767984,0.01700932470159959,8.504662350799794,17.00932470159959
1,cv-refit,900,1.0280727524056152,0.01700932470159959,8.504662350799794,17.00932470159959
1,cv-single,900,1.0,0.01700932470159959,17.00932470159959,17.00932470159959
1,cv-overfit,900,1.2777309533131829,1e-05,1e-05,17.16239059496649
1,oracle,900,1.0,1e-05,17.16239059496649,17.16239059496649
1,theory-1,900,0.9988506383158953,-1.0,14.212490289634053,-1.0
1,theory-2,900,1.0,-1.0,28.424980579268105,-1.0
1,theory-3,900,1.0,-1.0,42.637470868902156,-1.0
1,cv,1000,1.0,0.01795632190097701,17.95632190097701,17.95632190097701
1,cv-refit,1000,0.9999228970256945,0.01795632190097701,17.95632190097701,17.95632190097701
1,cv-single,1000,1.0,0.01795632190097701,17.95632190097701,17.95632190097701
1,cv-overfit,1000,1.2650041770487834,1e-05,1e-05,18.05556564598567
1,oracle,1000,1.0,1e-05,18.05556564598567,18.05556564598567
1,theory-1,1000,0.995906264668355,-1.0,14.7825472726479,-1.0
1,theory-2,1000,1.0,-1.0,29.5650945452958,-1.0
1,theory-3,1000,1.0,-1.0,44.347641817943696,-1.0
1,cv,1100,1.0,0.01832003333376889,18.32003333376889,18.32003333376889
1,cv-refit,1100,0.9996534992385586,0.01832003333376889,18.32003333376889,18.32003333376889
1,cv-single,1100,1.0,0.01832003333376889,18.32003333376889,18.32003333376889
1,cv-overfit,1100,1.2815007482960226,1e-05,1e-05,18.585582286377438
1,oracle,1100,1.0,1e-05,18.585582286377438,18.585582286377438
1,theory-1,1100,0.9923099907450663,-1.0,15.397549979107117,-1.0
1,theory-2,1100,1.0,-1.0,30.795099958214234,-1.0
1,theory-3,1100,1.0,-1.0,46.19264993732135,-1.0
1,cv,1200,1.0,0.019543041271235413,19.543041271235413,19.543041271235413
1,cv-refit,1200,0.999752669097529,0.019543041271235413,19.543041271235413,19.543041271235413
1,cv-single,1200,1.0,0.019543041271235413,19.543041271235413,19.543041271235413
1,cv-overfit,1200,1.2843742542002556,1e-05,1e-05,19.789115570849656
1,oracle,1200,1.0,1e-05,19.789115570849656,19.789115570849656
1,theory-1,1200,0.9916532485428465,-1.0,15.827944728371696,-1.0
1,theory-2,1200,1.0,-1.0,31.65588945674339,-1.0
1,theory-3,1200,1.0,-1.0,47.483834185115086,-1.0
1,cv,1300,1.0,0.019858052648678445,19.858052648678445,19.858052648678445
1,cv-refit,1300,0.9988815831302397,0.019858052648678445,19.858052648678445,19.858052648678445
1,cv-single,1300,1.0165613466998753,0.019858052648678445,9.929026324339222,19.858052648678445
1,cv-overfit,1300,1.2966346591965143,1e-05,1e-05,20.085783044187444
1,oracle,1300,0.9999999999999999,1e-05,20.085783044187444,20.085783044187444
1,theory-1,1300,0.9813938150218643,-1.0,16.32918057778989,-1.0
1,theory-2,1300,1.0,-1.0,32.65836115557978,-1.0
1,theory-3,1300,1.0,-1.0,48.987541733369675,-1.0
1,cv,1400,1.0,0.020932788100489503,20.932788100489503,20.932788100489503
1,cv-refit,1400,0.9989629592613607,0.020932788100489503,20.932788100489503,20.932788100489503
1,cv-single,1400,1.0,0.020932788100489503,20.932788100489503,20.932788100489503
1,cv-overfit,1400,1.2835817685633417,1e-05,1e-05,21.14287958914031
1,oracle,1400,0.9840575280232374,1e-05,10.571439794570155,21.14287958914031
1,theory-1,1400,0.9739834628146858,-1.0,16.8899822872931,-1.0
1,theory-2,1400,1.0,-1.0,33.7799645745862,-1.0
1,theory-3,1400,1.0,-1.0,50.6699468618793,-1.0
1,cv,1500,1.0,0.022099970966541413,22.099970966541413,22.099970966541413
1,cv-refit,1500,0.997873392202844,0.022099970966541413,22.099970966541413,22.099970966541413
1,cv-single,1500,0.964278652930492,0.022099970966541413,11.049985483270707,22.099970966541413
1,cv-overfit,1500,1.3038802927390805,1e-05,1e-05,22.409902396502122
1,oracle,1500,0.9705942349371399,1e-05,11.204951198251061,22.409902396502122
1,theory-1,1500,0.9670135177845613,-1.0,17.27327868502149,-1.0
1,theory-2,1500,1.0,-1.0,34.54655737004298,-1.0
1,theory-3,1500,1.0,-1.0,51.81983605506447,-1.0
1,cv,1600,1.0,0.02207515100329247,22.075151003292472,22.075151003292472
1,cv-refit,1600,0.9933498663644594,0.02207515100329247,22.075151003292472,22.075151003292472
1,cv-single,1600,1.0,0.02207515100329247,22.075151003292472,22.075151003292472
1,cv-overfit,1600,1.3049469599461019,1e-05,1e-05,22.91229498171676
1,oracle,1600,0.9629321853604337,1e-05,11.45614749085838,22.91229498171676
1,theory-1,1600,0.9613641672671995,-1.0,17.802012272646106,-1.0
1,theory-2,1600,1.0,-1.0,35.60402454529221,-1.0
1,theory-3,1600,1.0,-1.0,53.406036817938315,-1.0
1,cv,1700,1.0,0.022355875608262563,22.35587560826256,22.35587560826256
1,cv-refit,1700,0.9917189604950831,0.022355875608262563,22.35587560826256,22.35587560826256
1,cv-single,1700,0.9697567828516888,0.022355875608262563,11.17793780413128,22.35587560826256
1,cv-overfit,1700,1.3088287624062267,1e-05,1e-05,23.3391532192577
1,oracle,1700,0.955967651475228,1e-05,11.66957660962885,23.3391532192577
1,theory-1,1700,0.9604632680245256,-1.0,18.20748287347501,-1.0
1,theory-2,1700,1.0,-1.0,36.41496574695002,-1.0
1,theory-3,1700,1.0,-1.0,54.622448620425025,-1.0
1,cv,1800,1.0,0.023077282432855315,23.077282432855316,23.077282432855316
1,cv-refit,1800,0.9927584003210584,0.023077282432855315,23.077282432855316,23.077282432855316
1,cv-single,1800,1.0,0.023077282432855315,23.077282432855316,23.077282432855316
1,cv-overfit,1800,1.3315130236262795,1e-05,1e-05,23.94047037790147
1,oracle,1800,0.9580299364797906,1e-05,11.970235188950735,23.94047037790147
1,theory-1,1800,0.9602849900129546,-1.0,18.723159967422674,-1.0
1,theory-2,1800,1.0,-1.0,37.44631993484535,-1.0
1,theory-3,1800,1.0,-1.0,56.16947990226802,-1.0
1,cv,1900,0.9372839731695927,0.024056803608648383,12.028401804324192,24.056803608648384
1,cv-refit,1900,0.9557982349962488,0.024056803608648383,12.028401804324192,24.056803608648384
1,cv-single,1900,1.0826178152058124,0.024056803608648383,6.014200902162096,24.056803608648384
1,cv-overfit,1900,1.3360988303229324,1e-05,1e-05,25.004718484694923
1,oracle,1900,0.951169124612702,1e-05,12.502359242347461,25.004718484694923
1,theory-1,1900,0.956168860072762,-1.0,19.108279011558977,-1.0
1,theory-2,1900,1.0,-1.0,38.216558023117955,-1.0
1,theory-3,1900,1.0,-1.0,57.32483703467693,-1.0
1,cv,2000,0.9235537886894016,0.02528005859659435,12.640029298297176,25.28005859659435
1,cv-refit,2000,0.9385660336236884,0.02528005859659435,12.640029298297176,25.28005859659435
1,cv-single,2000,0.9469347601307142,0.02528005859659435,12.640029298297176,25.28005859659435
1,cv-overfit,2000,1.338318604952149,1e-05,1e-05,26.155650902455676
1,oracle,2000,0.9348405043054286,1e-05,13.077825451227838,26.155650902455676
1,theory-1,2000,0.9458346740589594,-1.0,19.4372872414565,-1.0
1,theory-2,2000,1.0,-1.0,38.874574482913,-1.0
1,theory-3,2000,1.0,-1.0,58.31186172436949,-1.0
1,cv,2100,0.9190179557193631,0.02551019155185154,12.75509577592577,25.51019155185154
1,cv-refit,2100,0.9367130668433291,0.02551019155185154,12.75509577592577,25.51019155185154
1,cv-single,2100,0.9430212849903709,0.02551019155185154,12.75509577592577,25.51019155185154
1,cv-overfit,2100,1.3481298205360415,1e-05,1e-05,26.419334020524516
1,oracle,2100,0.9327358082737774,1e-05,13.209667010262258,26.419334020524516
1,theory-1,2100,0.9429969298083378,-1.0,19.941503173311233,-1.0
1,theory-2,2100,1.0,-1.0,39.883006346622466,-1.0
1,theory-3,2100,1.0,-1.0,59.8245095199337,-1.0
1,cv,2200,0.9049876342526281,0.02622645151776742,13.11322575888371,26.22645151776742
1,cv-refit,2200,0.9183621656157666,0.02622645151776742,13.11322575888371,26.22645151776742
1,cv-single,2200,0.9287022201599432,0.02622645151776742,13.11322575888371,26.22645151776742
1,cv-overfit,2200,1.3488375330680362,1e-05,1e-05,27.140568208119504
1,oracle,2200,0.9148069546307268,1e-05,13.570284104059752,27.140568208119504
1,theory-1,2200,0.9323829276081489,-1.0,20.375175129431792,-1.0
1,theory-2,2200,1.0,-1.0,40.750350258863584,-1.0
1,theory-3,2200,1.0,-1.0,61.12552538829537,-1.0
1,cv,2300,0.9005594332633521,0.02640753529328909,13.203767646644545,26.40753529328909
1,cv-refit,2300,0.915695640663408,0.02640753529328909,13.203767646644545,26.40753529328909
1,cv-single,2300,0.9201142542330644,0.02640753529328909,13.203767646644545,26.40753529328909
1,cv-overfit,2300,1.3451449115583625,1e-05,1e-05,27.62432731533455
1,oracle,2300,0.9109681585558147,1e-05,13.812163657667275,27.62432731533455
1,theory-1,2300,0.9292963179388974,-1.0,20.641508599367036,-1.0
1,theory-2,2300,1.0,-1.0,41.28301719873407,-1.0
1,theory-3,2300,1.0,-1.0,61.92452579810111,-1.0
1,cv,2400,0.8962715614357744,0.026799417763186513,13.399708881593256,26.79941776318651
1,cv-refit,2400,0.9122034455522477,0.026799417763186513,13.399708881593256,26.79941776318651
1,cv-single,2400,1.0,0.026799417763186513,26.79941776318651,26.79941776318651
1,cv-overfit,2400,1.3511828652832143,1e-05,1e-05,27.96076969752958
1,oracle,2400,0.9076379843422305,1e-05,13.98038484876479,27.96076969752958
1,theory-1,2400,0.9273996218296935,-1.0,21.113245686640457,-1.0
1,theory-2,2400,1.0,-1.0,42.226491373280915,-1.0
1,theory-3,2400,1.0,-1.0,63.339737059921376,-1.0
1,cv,2500,0.8887588364960645,0.027109666849038833,13.554833424519416,27.10966684903883
1,cv-refit,2500,0.904688946230754,0.027109666849038833,13.554833424519416,27.10966684903883
1,cv-single,2500,1.0,0.027109666849038833,27.10966684903883,27.10966684903883
