seed,name,n_sample,error,alpha_min,alpha_opt,alpha_max
1,cv,100,0.9924085460725093,0.005492312896219629,0.6865391120274537,5.492312896219629
1,cv-refit,100,0.9923636098881025,0.005492312896219629,0.6865391120274537,5.492312896219629
1,cv-single,100,0.9922214538040545,0.005492312896219629,0.17163477800686341,5.492312896219629
1,cv-overfit,100,0.9922151611860193,1e-05,1e-05,5.492312897674839
1,oracle,100,0.9921382328805134,1e-05,0.17163477805233873,5.492312897674839
1,theory-1,100,0.9945960157430428,-1.0,1.9319812339381617,-1.0
1,theory-2,100,0.9985434720171267,-1.0,3.8639624678763234,-1.0
1,theory-3,100,1.0,-1.0,5.795943701814485,-1.0
1,cv,200,1.0,0.007395435273320079,7.3954352733200786,7.3954352733200786
1,cv-refit,200,0.9999978164876183,0.007395435273320079,7.3954352733200786,7.3954352733200786
1,cv-single,200,0.9956594951837483,0.007395435273320079,3.6977176366600393,7.3954352733200786
1,cv-overfit,200,0.9939189970141886,1e-05,1e-05,7.39847210083144
1,oracle,200,0.9936355500561632,1e-05,0.92480901260393,7.39847210083144
1,theory-1,200,0.9941886568448185,-1.0,2.2416610260003185,-1.0
1,theory-2,200,0.996431488900716,-1.0,4.483322052000637,-1.0
1,theory-3,200,0.9995172193152897,-1.0,6.724983078000955,-1.0
1,cv,300,0.9899578593444462,0.007932799353909678,3.966399676954839,7.932799353909678
1,cv-refit,300,0.9913265887405649,0.007932799353909678,3.966399676954839,7.932799353909678
1,cv-single,300,0.9923092909232837,0.007932799353909678,1.9831998384774194,7.932799353909678
1,cv-overfit,300,0.9935804176686428,1e-05,1e-05,7.933751279261558
1,oracle,300,0.9899886812774976,1e-05,1.9834378198153895,7.933751279261558
1,theory-1,300,0.9906970458833809,-1.0,2.4917250541465252,-1.0
1,theory-2,300,0.9931972745564508,-1.0,4.9834501082930505,-1.0
1,theory-3,300,0.9993606382000145,-1.0,7.475175162439576,-1.0
1,cv,400,1.0,0.008869943683812902,8.869943683812902,8.869943683812902
1,cv-refit,400,0.9999918609048217,0.008869943683812902,8.869943683812902,8.869943683812902
1,cv-single,400,0.9961861791539501,0.008869943683812902,4.434971841906451,8.869943683812902
1,cv-overfit,400,1.0035072474083513,1e-05,1e-05,8.877700052177978
1,oracle,400,0.9910715738422177,1e-05,4.438850026088989,8.877700052177978
1,theory-1,400,0.9948004197104244,-1.0,2.7320140590774136,-1.0
1,theory-2,400,0.9929211640584126,-1.0,5.464028118154827,-1.0
1,theory-3,400,0.9994394928048762,-1.0,8.19604217723224,-1.0
1,cv,500,1.0,0.00947908157829841,9.479081578298409,9.479081578298409
1,cv-refit,500,0.9999882914118383,0.00947908157829841,9.479081578298409,9.479081578298409
1,cv-single,500,1.0,0.00947908157829841,9.479081578298409,9.479081578298409
1,cv-overfit,500,0.9963993600262069,1e-05,1e-05,9.493479176774201
1,oracle,500,0.9846028631955225,1e-05,4.746739588387101,9.493479176774201
1,theory-1,500,0.98592658314171,-1.0,2.914664607131563,-1.0
1,theory-2,500,0.9874055244170775,-1.0,5.829329214263126,-1.0
