seed,name,n_sample,error,alpha_min,alpha_opt,alpha_max
1,cv-overfit,900,0.5816022713090774,1e-05,1e-05,19.328630030222005
1,oracle,900,0.5627640857318891,1e-05,2.4160787537777506,19.328630030222005
1,theory-1,900,0.5881490628595286,-1.0,4.62213182330734,-1.0
1,theory-2,900,0.7200405603664161,-1.0,9.24426364661468,-1.0
1,theory-3,900,0.8850384212656252,-1.0,13.86639546992202,-1.0
1,cv,1000,0.5859500433734913,0.02003798380872093,5.009495952180232,20.037983808720927
1,cv-refit,1000,0.5733957271620927,0.02003798380872093,5.009495952180232,20.037983808720927
1,cv-single,1000,0.5987237953222876,0.02003798380872093,5.009495952180232,20.037983808720927
1,cv-overfit,1000,0.5521240611534326,1e-05,1e-05,20.326304314803398
1,oracle,1000,0.537472991509082,1e-05,2.5407880393504247,20.326304314803398
1,theory-1,1000,0.5691571259985816,-1.0,4.816818081487768,-1.0
1,theory-2,1000,0.7062796318621621,-1.0,9.633636162975536,-1.0
1,theory-3,1000,0.8696928762445788,-1.0,14.450454244463305,-1.0
2,cv,100,1.0,0.006032532246042992,6.032532246042992,6.032532246042992
2,cv-refit,100,1.0,0.006032532246042992,6.032532246042992,6.032532246042992
2,cv-single,100,0.9780932270913681,0.006032532246042992,1.508133061510748,6.032532246042992
2,cv-overfit,100,0.9825544592884555,1e-05,1e-05,6.014205106739494
2,oracle,100,0.9819640361456222,1e-05,0.3758878191712184,6.014205106739494
2,theory-1,100,0.9931306007741865,-1.0,2.1832461654129753,-1.0
2,theory-2,100,0.996289675416446,-1.0,4.366492330825951,-1.0
2,theory-3,100,1.0,-1.0,6.549738496238926,-1.0
2,cv,200,1.0,0.00790615569055266,7.9061556905526595,7.9061556905526595
2,cv-refit,200,0.9999545694600047,0.00790615569055266,7.9061556905526595,7.9061556905526595
2,cv-single,200,1.0,0.00790615569055266,7.9061556905526595,7.9061556905526595
2,cv-overfit,200,0.9730260874600007,1e-05,1e-05,7.917915098855728
2,oracle,200,0.9522931562290536,1e-05,1.979478774713932,7.917915098855728
2,theory-1,200,0.9544825866269531,-1.0,2.6441974568737048,-1.0
2,theory-2,200,0.9825296831368061,-1.0,5.2883949137474096,-1.0
2,theory-3,200,1.0,-1.0,7.932592370621114,-1.0
2,cv,300,1.0,0.009330330788508041,9.330330788508041,9.330330788508041
2,cv-refit,300,1.0,0.009330330788508041,9.330330788508041,9.330330788508041
2,cv-single,300,0.9303957615940214,0.009330330788508041,4.6651653942540205,9.330330788508041
2,cv-overfit,300,0.9174468694999701,1e-05,1e-05,9.26893605140788
2,oracle,300,0.891122070925151,1e-05,2.31723401285197,9.26893605140788
2,theory-1,300,0.8917517232132763,-1.0,3.0178708368268774,-1.0
2,theory-2,300,0.9527478226417038,-1.0,6.035741673653755,-1.0
2,theory-3,300,0.9987006775054735,-1.0,9.053612510480633,-1.0
2,cv,400,0.8387045733420208,0.010711451410094233,2.677862852523558,10.711451410094233
2,cv-refit,400,0.8383793609709815,0.010711451410094233,2.677862852523558,10.711451410094233
2,cv-single,400,0.8691494329913484,0.010711451410094233,1.338931426261779,10.711451410094233
2,cv-overfit,400,0.8604968471701802,1e-05,1e-05,10.727815674264697
2,oracle,400,0.838305839823188,1e-05,2.6819539185661743,10.727815674264697
2,theory-1,400,0.8426264546089965,-1.0,3.38366602571629,-1.0
2,theory-2,400,0.9178043668042251,-1.0,6.76733205143258,-1.0
2,theory-3,400,0.9911465883152466,-1.0,10.15099807714887,-1.0
2,cv,500,0.8696969075357245,0.012802642388012327,6.401321194006163,12.802642388012327
2,cv-refit,500,0.845269090444166,0.012802642388012327,6.401321194006163,12.802642388012327
2,cv-single,500,0.8658706758923155,0.012802642388012327,6.401321194006163,12.802642388012327
2,cv-overfit,500,0.784232247967584,1e-05,1e-05,13.093280771406016
2,oracle,500,0.7631819460224809,1e-05,1.636660096425752,13.093280771406016
2,theory-1,500,0.7736268695248437,-1.0,3.639004098132398,-1.0
2,theory-2,500,0.875114872909125,-1.0,7.278008196264796,-1.0
2,theory-3,500,0.972050510957464,-1.0,10.917012294397194,-1.0
2,cv,600,0.8369467116852006,0.013459689161059546,6.729844580529773,13.459689161059545
2,cv-refit,600,0.8122277288882169,0.013459689161059546,6.729844580529773,13.459689161059545
2,cv-single,600,0.7366397116272083,0.013459689161059546,3.3649222902648863,13.459689161059545
2,cv-overfit,600,0.7402825761613219,1e-05,1e-05,13.661866133052037
2,oracle,600,0.7217846934073975,1e-05,1.7077332666315046,13.661866133052037
2,theory-1,600,0.7357069707382813,-1.0,3.9473218936953898,-1.0
2,theory-2,600,0.8505176848085048,-1.0,7.8946437873907795,-1.0
2,theory-3,600,0.9731574094884415,-1.0,11.841965681086169,-1.0
2,cv,700,0.803191956865581,0.014786707655656078,7.393353827828038,14.786707655656077
2,cv-refit,700,0.7727821154459583,0.014786707655656078,7.393353827828038,14.786707655656077
2,cv-single,700,0.8145337578762328,0.014786707655656078,7.393353827828038,14.786707655656077
2,cv-overfit,700,0.6873090037884344,1e-05,1e-05,15.2070406157161
2,oracle,700,0.6655734922140717,1e-05,1.9008800769645124,15.2070406157161
2,theory-1,700,0.6805634013833838,-1.0,4.163732859424904,-1.0
2,theory-2,700,0.8069588420907172,-1.0,8.327465718849808,-1.0
2,theory-3,700,0.9546833140084416,-1.0,12.491198578274712,-1.0
2,cv,800,0.6324008699105098,0.01628218533322703,4.0705463333067575,16.28218533322703
2,cv-refit,800,0.6194879504558244,0.01628218533322703,4.0705463333067575,16.28218533322703
2,cv-single,800,0.6499272197069552,0.01628218533322703,4.0705463333067575,16.28218533322703
2,cv-overfit,800,0.6212682085619997,1e-05,1e-05,16.75958788409678
2,oracle,800,0.6015932018016118,1e-05,2.0949484855120977,16.75958788409678
2,theory-1,800,0.62490323295056,-1.0,4.397997818898505,-1.0
2,theory-2,800,0.7562262591486166,-1.0,8.79599563779701,-1.0
2,theory-3,800,0.9308431487224551,-1.0,13.193993456695514,-1.0
2,cv,900,0.5893032082871437,0.018028954341097806,4.507238585274451,18.028954341097805
2,cv-refit,900,0.573368740361467,0.018028954341097806,4.507238585274451,18.028954341097805
2,cv-single,900,0.5957487222639257,0.018028954341097806,4.507238585274451,18.028954341097805
2,cv-overfit,900,0.5640266654881658,1e-05,1e-05,18.50583511094468
2,oracle,900,0.5460287065412057,1e-05,2.313229388868085,18.50583511094468
2,theory-1,900,0.5756787465404516,-1.0,4.62213182330734,-1.0
2,theory-2,900,0.7220154546691544,-1.0,9.24426364661468,-1.0
2,theory-3,900,0.895871570707791,-1.0,13.86639546992202,-1.0
2,cv,1000,0.5655480152075448,0.019066683756852894,4.766670939213223,19.066683756852893
2,cv-refit,1000,0.5497293734562733,0.019066683756852894,4.766670939213223,19.066683756852893
2,cv-single,1000,0.5891100182575928,0.019066683756852894,4.766670939213223,19.066683756852893
2,cv-overfit,1000,0.5310494232368663,1e-05,1e-05,19.579413347410473
2,oracle,1000,0.5146832157667418,1e-05,2.447426668426309,19.579413347410473
2,theory-1,1000,0.5508857851407749,-1.0,4.816818081487768,-1.0
2,theory-2,1000,0.6969222359297904,-1.0,9.633636162975536,-1.0
2,theory-3,1000,0.8727027352388533,-1.0,14.450454244463305,-1.0
3,cv,100,0.9753283264227474,0.006439378930935712,0.1006152957958705,6.439378930935712
3,cv-refit,100,0.9880029684355383,0.006439378930935712,0.1006152957958705,6.439378930935712
3,cv-single,100,1.0,0.006439378930935712,6.439378930935712,6.439378930935712
3,cv-overfit,100,0.9884290867116391,1e-05,1e-05,6.442559372492231
3,oracle,100,0.980285650483442,1e-05,1.6106398431230577,6.442559372492231
3,theory-1,100,0.9801142241567763,-1.0,2.1832461654129753,-1.0
3,theory-2,100,0.9920564004606286,-1.0,4.366492330825951,-1.0
3,theory-3,100,1.0,-1.0,6.549738496238926,-1.0
3,cv,200,0.971657462170376,0.008740504933034859,4.37025246651743,8.74050493303486
3,cv-refit,200,0.9721938921061544,0.008740504933034859,4.37025246651743,8.74050493303486
3,cv-single,200,0.977289849625265,0.008740504933034859,0.27314077915733936,8.74050493303486
3,cv-overfit,200,0.9787811423421326,1e-05,1e-05,8.821587314500963
3,oracle,200,0.9594577896228563,1e-05,2.205396828625241,8.821587314500963
3,theory-1,200,0.9610309613828693,-1.0,2.6441974568737048,-1.0
3,theory-2,200,0.9820884134479305,-1.0,5.2883949137474096,-1.0
3,theory-3,200,0.9939115413847835,-1.0,7.932592370621114,-1.0
3,cv,300,0.9617433809487184,0.010136857376370243,5.068428688185121,10.136857376370243
3,cv-refit,300,0.9663311843700512,0.010136857376370243,5.068428688185121,10.136857376370243
3,cv-single,300,0.9769999259557582,0.010136857376370243,5.068428688185121,10.136857376370243
3,cv-overfit,300,0.958994120754574,1e-05,1e-05,10.223327524621942
3,oracle,300,0.9321003164954882,1e-05,2.5558318811554854,10.223327524621942
3,theory-1,300,0.9351109156433658,-1.0,3.0178708368268774,-1.0
3,theory-2,300,0.9729654392612602,-1.0,6.035741673653755,-1.0
3,theory-3,300,0.9902025423272641,-1.0,9.053612510480633,-1.0
3,cv,400,0.9368477644341123,0.010700668099074927,5.350334049537463,10.700668099074926
3,cv-refit,400,0.9345392937341279,0.010700668099074927,5.350334049537463,10.700668099074926
3,cv-single,400,0.9340966651816942,0.010700668099074927,5.350334049537463,10.700668099074926
3,cv-overfit,400,0.9340356025800169,1e-05,1e-05,10.903933629437832
3,oracle,400,0.9060439436154984,1e-05,2.725983407359458,10.903933629437832
3,theory-1,400,0.9130816382638393,-1.0,3.38366602571629,-1.0
3,theory-2,400,0.9573876865752211,-1.0,6.76733205143258,-1.0
3,theory-3,400,0.9919904322225402,-1.0,10.15099807714887,-1.0
3,cv,500,0.8898037780956726,0.012436974100116923,6.218487050058462,12.436974100116924
3,cv-refit,500,0.8750996691342892,0.012436974100116923,6.218487050058462,12.436974100116924
3,cv-single,500,0.9058078332334468,0.012436974100116923,6.218487050058462,12.436974100116924
3,cv-overfit,500,0.8409192785272426,1e-05,1e-05,12.820941561604444
3,oracle,500,0.8115533412323505,1e-05,3.205235390401111,12.820941561604444
3,theory-1,500,0.8156359244701993,-1.0,3.639004098132398,-1.0
3,theory-2,500,0.9048991214680655,-1.0,7.278008196264796,-1.0
3,theory-3,500,0.9771517479136006,-1.0,10.917012294397194,-1.0
3,cv,600,0.7406779812681525,0.014108794913004047,3.5271987282510118,14.108794913004047
3,cv-refit,600,0.7314365952788762,0.014108794913004047,3.5271987282510118,14.108794913004047
3,cv-single,600,0.878380654527324,0.014108794913004047,7.0543974565020235,14.108794913004047
3,cv-overfit,600,0.7478451501448531,1e-05,1e-05,14.300186322310795
3,oracle,600,0.7253254759550829,1e-05,1.7875232902888494,14.300186322310795
3,theory-1,600,0.7382437937353565,-1.0,3.9473218936953898,-1.0
3,theory-2,600,0.8578068903252034,-1.0,7.8946437873907795,-1.0
3,theory-3,600,0.9644048221217811,-1.0,11.841965681086169,-1.0
3,cv,700,0.6831015132683597,0.014752629235463449,3.688157308865862,14.752629235463449
3,cv-refit,700,0.6743065340302284,0.014752629235463449,3.688157308865862,14.752629235463449
3,cv-single,700,0.6959419971929104,0.014752629235463449,3.688157308865862,14.752629235463449
3,cv-overfit,700,0.6915594444769825,1e-05,1e-05,15.215357205810328
3,oracle,700,0.6688717827819367,1e-05,1.901919650726291,15.215357205810328
3,theory-1,700,0.6813108624194927,-1.0,4.163732859424904,-1.0
3,theory-2,700,0.8081476494805079,-1.0,8.327465718849808,-1.0
3,theory-3,700,0.9586797332633284,-1.0,12.491198578274712,-1.0
3,cv,800,0.6486047919621756,0.015958445772895756,3.9896114432239393,15.958445772895757
3,cv-refit,800,0.6360612041585435,0.015958445772895756,3.9896114432239393,15.958445772895757
3,cv-single,800,0.6718050164111103,0.015958445772895756,0.9974028608059848,15.958445772895757
3,cv-overfit,800,0.6454886900077086,1e-05,1e-05,16.327265721553495
3,oracle,800,0.6243930519062184,1e-05,2.040908215194187,16.327265721553495
3,theory-1,800,0.6435599598587642,-1.0,4.397997818898505,-1.0
3,theory-2,800,0.7886944548849212,-1.0,8.79599563779701,-1.0
3,theory-3,800,0.9504100864626874,-1.0,13.193993456695514,-1.0
3,cv,900,0.6199115209201199,0.01732204405258247,4.3305110131456175,17.32204405258247
3,cv-refit,900,0.605761758661987,0.01732204405258247,4.3305110131456175,17.32204405258247
3,cv-single,900,0.6573153972208279,0.01732204405258247,4.3305110131456175,17.32204405258247
3,cv-overfit,900,0.6046509801987526,1e-05,1e-05,17.59328835130681
3,oracle,900,0.5829789698286536,1e-05,2.1991610439133513,17.59328835130681
3,theory-1,900,0.611234595518281,-1.0,4.62213182330734,-1.0
3,theory-2,900,0.7619812098035323,-1.0,9.24426364661468,-1.0
3,theory-3,900,0.922028654729242,-1.0,13.86639546992202,-1.0
3,cv,1000,0.7366836493965778,0.01839389400917631,9.196947004588155,18.39389400917631
3,cv-refit,1000,0.7023992682738098,0.01839389400917631,9.196947004588155,18.39389400917631
3,cv-single,1000,0.5893100877835683,0.01839389400917631,4.598473502294078,18.39389400917631
3,cv-overfit,1000,0.5426712394602206,1e-05,1e-05,18.79086396185001
3,oracle,1000,0.522867950244786,1e-05,2.3488579952312514,18.79086396185001
3,theory-1,1000,0.5555436426197908,-1.0,4.816818081487768,-1.0
3,theory-2,1000,0.7179653199453315,-1.0,9.633636162975536,-1.0
3,theory-3,1000,0.890298004633267,-1.0,14.450454244463305,-1.0
4,cv,100,1.0,0.005372496612847963,5.372496612847963,5.372496612847963
4,cv-refit,100,0.999999999746916,0.005372496612847963,5.372496612847963,5.372496612847963
4,cv-single,100,0.9885584135657824,0.005372496612847963,2.6862483064239817,5.372496612847963
4,cv-overfit,100,0.9765138280218686,1e-05,1e-05,5.37249675394754
4,oracle,100,0.9760982026192638,1e-05,0.33578104712172124,5.37249675394754
4,theory-1,100,0.9830543565397615,-1.0,2.1832461654129753,-1.0
4,theory-2,100,0.9976421751453067,-1.0,4.366492330825951,-1.0
4,theory-3,100,1.0,-1.0,6.549738496238926,-1.0
4,cv,200,1.0,0.007227983153463529,7.227983153463528,7.227983153463528
4,cv-refit,200,0.9999932434798587,0.007227983153463529,7.227983153463528,7.227983153463528
4,cv-single,200,1.0,0.007227983153463529,7.227983153463528,7.227983153463528
4,cv-overfit,200,0.9287479177510917,1e-05,1e-05,7.229959515227836
4,oracle,200,0.9188876891068186,1e-05,1.807489878806959,7.229959515227836
4,theory-1,200,0.9230202293192599,-1.0,2.6441974568737048,-1.0
4,theory-2,200,0.9823809659748205,-1.0,5.2883949137474096,-1.0
4,theory-3,200,1.0,-1.0,7.932592370621114,-1.0
4,cv,300,0.872244702607214,0.009021035560579904,2.255258890144976,9.021035560579904
4,cv-refit,300,0.8805427307225601,0.009021035560579904,2.255258890144976,9.021035560579904
4,cv-single,300,0.9201850383808923,0.009021035560579904,0.009021035560579904,9.021035560579904
4,cv-overfit,300,0.9035633715536016,1e-05,1e-05,9.0427800585575
4,oracle,300,0.8804630857228976,1e-05,2.260695014639375,9.0427800585575
4,theory-1,300,0.8831581876113366,-1.0,3.0178708368268774,-1.0
4,theory-2,300,0.941805463333044,-1.0,6.035741673653755,-1.0
4,theory-3,300,1.0,-1.0,9.053612510480633,-1.0
4,cv,400,0.8610329769170948,0.010141215899342157,5.0706079496710785,10.141215899342157
4,cv-refit,400,0.8461008468342094,0.010141215899342157,5.0706079496710785,10.141215899342157
4,cv-single,400,0.853490780384054,0.010141215899342157,0.0396141246068053,10.141215899342157
4,cv-overfit,400,0.8362866028342923,1e-05,1e-05,10.0660235769935
4,oracle,400,0.8172447843740261,1e-05,2.516505894248375,10.0660235769935
4,theory-1,400,0.820845597743221,-1.0,3.38366602571629,-1.0
4,theory-2,400,0.8953085613122099,-1.0,6.76733205143258,-1.0
4,theory-3,400,1.0,-1.0,10.15099807714887,-1.0
4,cv,500,0.7541325205637568,0.010828100342392977,2.7070250855982443,10.828100342392977
4,cv-refit,500,0.7523398586845707,0.010828100342392977,2.7070250855982443,10.828100342392977
4,cv-single,500,0.7860675523564713,0.010828100342392977,1.3535125427991221,10.828100342392977
4,cv-overfit,500,0.7699504403335279,1e-05,1e-05,10.968848329790026
4,oracle,500,0.7525293639271783,1e-05,2.7422120824475065,10.968848329790026
4,theory-1,500,0.7637177317734858,-1.0,3.639004098132398,-1.0
4,theory-2,500,0.8663790514163084,-1.0,7.278008196264796,-1.0
4,theory-3,500,0.9990107409910798,-1.0,10.917012294397194,-1.0
4,cv,600,0.7824430721377683,0.011804082466988556,5.902041233494278,11.804082466988556
4,cv-refit,600,0.7626145720172564,0.011804082466988556,5.902041233494278,11.804082466988556
4,cv-single,600,0.7800844245211136,0.011804082466988556,5.902041233494278,11.804082466988556
4,cv-overfit,600,0.7128054713383202,1e-05,1e-05,12.220686172372975
4,oracle,600,0.699732966759624,1e-05,1.527585771546622,12.220686172372975
4,theory-1,600,0.7162031953587678,-1.0,3.9473218936953898,-1.0
4,theory-2,600,0.8287037550458183,-1.0,7.8946437873907795,-1.0
4,theory-3,600,0.9901093532823353,-1.0,11.841965681086169,-1.0
4,cv,700,0.6570019665783123,0.01270066658365351,1.5875833229566887,12.70066658365351
4,cv-refit,700,0.6679437458629324,0.01270066658365351,1.5875833229566887,12.70066658365351
4,cv-single,700,0.7298752295288307,0.01270066658365351,0.01270066658365351,12.70066658365351
4,cv-overfit,700,0.6860582479055238,1e-05,1e-05,13.006458345219402
4,oracle,700,0.6670456638201395,1e-05,1.6258072931524252,13.006458345219402
4,theory-1,700,0.6795810787682606,-1.0,4.163732859424904,-1.0
4,theory-2,700,0.7989760332064506,-1.0,8.327465718849808,-1.0
4,theory-3,700,0.9778961189661527,-1.0,12.491198578274712,-1.0
4,cv,800,0.6418401875430101,0.014142475516727123,3.5356188791817806,14.142475516727123
4,cv-refit,800,0.6372085155599401,0.014142475516727123,3.5356188791817806,14.142475516727123
4,cv-single,800,0.6626125173201977,0.014142475516727123,3.5356188791817806,14.142475516727123
4,cv-overfit,800,0.6540955420091279,1e-05,1e-05,14.741519489433404
4,oracle,800,0.6324888794642405,1e-05,1.8426899361791755,14.741519489433404
4,theory-1,800,0.6493846288404455,-1.0,4.397997818898505,-1.0
4,theory-2,800,0.7774771009142497,-1.0,8.79599563779701,-1.0
4,theory-3,800,0.9552098866116174,-1.0,13.193993456695514,-1.0
4,cv,900,0.6069453275448033,0.015838388086490723,3.9595970216226806,15.838388086490722
4,cv-refit,900,0.596719753718156,0.015838388086490723,3.9595970216226806,15.838388086490722
4,cv-single,900,0.736295498218554,0.015838388086490723,7.919194043245361,15.838388086490722
4,cv-overfit,900,0.6019642357222927,1e-05,1e-05,16.6928755084262
4,oracle,900,0.5813399965962718,1e-05,2.086609438553275,16.6928755084262
4,theory-1,900,0.6089238769004621,-1.0,4.62213182330734,-1.0
4,theory-2,900,0.7444068884928233,-1.0,9.24426364661468,-1.0
4,theory-3,900,0.9157834372109018,-1.0,13.86639546992202,-1.0
4,cv,1000,0.5790947867025913,0.01723612105595773,4.309030263989433,17.23612105595773
4,cv-refit,1000,0.5689399502120781,0.01723612105595773,4.309030263989433,17.23612105595773
4,cv-single,1000,0.5990030014790129,0.01723612105595773,4.309030263989433,17.23612105595773
4,cv-overfit,1000,0.5716509422541756,1e-05,1e-05,18.160162010457995
4,oracle,1000,0.5504771675105545,1e-05,2.2700202513072494,18.160162010457995
4,theory-1,1000,0.5780181431944085,-1.0,4.816818081487768,-1.0
4,theory-2,1000,0.7208139671105678,-1.0,9.633636162975536,-1.0
4,theory-3,1000,0.879209258279303,-1.0,14.450454244463305,-1.0
5,cv,100,0.9744487270205153,0.007125294139989475,0.8906617674986843,7.1252941399894745
5,cv-refit,100,0.9841001756202635,0.007125294139989475,0.8906617674986843,7.1252941399894745
5,cv-single,100,0.9761832058907156,0.007125294139989475,0.007125294139989475,7.1252941399894745
5,cv-overfit,100,0.9867180974255574,1e-05,1e-05,7.125298896473823
5,oracle,100,0.9823975375831047,1e-05,1.7813247241184558,7.125298896473823
5,theory-1,100,0.9854633360478677,-1.0,2.1832461654129753,-1.0
5,theory-2,100,0.9968014191420531,-1.0,4.366492330825951,-1.0
5,theory-3,100,0.9988710827347052,-1.0,6.549738496238926,-1.0
5,cv,200,1.0,0.007570483989823793,7.570483989823792,7.570483989823792
5,cv-refit,200,1.0,0.007570483989823793,7.570483989823792,7.570483989823792
5,cv-single,200,1.0,0.007570483989823793,7.570483989823792,7.570483989823792
5,cv-overfit,200,0.9741436522461514,1e-05,1e-05,7.555808810301549
5,oracle,200,0.9671923159911708,1e-05,1.8889522025753873,7.555808810301549
5,theory-1,200,0.9683490747198735,-1.0,2.6441974568737048,-1.0
5,theory-2,200,0.9861541076627605,-1.0,5.2883949137474096,-1.0
5,theory-3,200,1.0,-1.0,7.932592370621114,-1.0
5,cv,300,0.9243960548088003,0.009118670689871575,4.559335344935787,9.118670689871575
5,cv-refit,300,0.9144051379200361,0.009118670689871575,4.559335344935787,9.118670689871575
5,cv-single,300,1.0,0.009118670689871575,9.118670689871575,9.118670689871575
5,cv-overfit,300,0.8964359890902384,1e-05,1e-05,9.146270209740642
5,oracle,300,0.8818074379197142,1e-05,2.2865675524351605,9.146270209740642
5,theory-1,300,0.8871083494020205,-1.0,3.0178708368268774,-1.0
5,theory-2,300,0.9501220592087666,-1.0,6.035741673653755,-1.0
5,theory-3,300,0.9992872021518073,-1.0,9.053612510480633,-1.0
5,cv,400,0.8688494362745784,0.00992082231955484,4.96041115977742,9.92082231955484
5,cv-refit,400,0.855173292878802,0.00992082231955484,4.96041115977742,9.92082231955484
5,cv-single,400,0.8497524793021985,0.00992082231955484,4.96041115977742,9.92082231955484
5,cv-overfit,400,0.8327675752834919,1e-05,1e-05,10.04573539743426
5,oracle,400,0.8139453411906674,1e-05,2.511433849358565,10.04573539743426
5,theory-1,400,0.8219903889583804,-1.0,3.38366602571629,-1.0
5,theory-2,400,0.9052717910883475,-1.0,6.76733205143258,-1.0
5,theory-3,400,1.0,-1.0,10.15099807714887,-1.0
5,cv,500,0.7267643625030533,0.012875253191238141,3.218813297809535,12.87525319123814
5,cv-refit,500,0.7189395070421463,0.012875253191238141,3.218813297809535,12.87525319123814
5,cv-single,500,0.7704152154241308,0.012875253191238141,0.8047033244523838,12.87525319123814
5,cv-overfit,500,0.7526689056316934,1e-05,1e-05,13.144251619324017
5,oracle,500,0.7191548751758998,1e-05,3.286062904831004,13.144251619324017
5,theory-1,500,0.7215963978363863,-1.0,3.639004098132398,-1.0
