seed,name,n_sample,error,alpha_min,alpha_opt,alpha_max
1,cv,100,0.9890517138448431,0.007159832630688265,1.7899581576720662,7.159832630688265
1,cv-refit,100,0.997978931861794,0.007159832630688265,1.7899581576720662,7.159832630688265
1,cv-single,100,0.9950187893656494,0.007159832630688265,3.5799163153441325,7.159832630688265
1,cv-overfit,100,1.0164313780445888,1e-05,1e-05,7.16004969734569
1,oracle,100,0.992954453638357,1e-05,3.580024848672845,7.16004969734569
1,theory-1,100,0.9927687347363101,-1.0,4.272449755491871,-1.0
1,theory-2,100,1.0,-1.0,8.544899510983742,-1.0
1,theory-3,100,1.0,-1.0,12.817349266475613,-1.0
1,cv,200,1.0,0.007839905525048794,7.839905525048794,7.839905525048794
1,cv-refit,200,0.9999345142038878,0.007839905525048794,7.839905525048794,7.839905525048794
1,cv-single,200,1.0,0.007839905525048794,7.839905525048794,7.839905525048794
1,cv-overfit,200,1.0257701949921258,1e-05,1e-05,7.852824873906057
1,oracle,200,0.9706108448846974,1e-05,3.9264124369530284,7.852824873906057
1,theory-1,200,0.9802055842312791,-1.0,5.341242373411481,-1.0
1,theory-2,200,1.0,-1.0,10.682484746822961,-1.0
1,theory-3,200,1.0,-1.0,16.02372712023444,-1.0
1,cv,300,1.0,0.0094141888107172,9.4141888107172,9.4141888107172
1,cv-refit,300,1.0,0.0094141888107172,9.4141888107172,9.4141888107172
1,cv-single,300,1.0,0.0094141888107172,9.4141888107172,9.4141888107172
1,cv-overfit,300,0.9953115444805196,1e-05,1e-05,9.368374262381069
1,oracle,300,0.9347215538845515,1e-05,4.6841871311905345,9.368374262381069
1,theory-1,300,0.9565772712018398,-1.0,6.0565233524600455,-1.0
1,theory-2,300,1.0,-1.0,12.113046704920091,-1.0
1,theory-3,300,1.0,-1.0,18.169570057380135,-1.0
1,cv,400,0.8856703528993093,0.010930005980139445,2.732501495034861,10.930005980139445
1,cv-refit,400,0.9030122635466915,0.010930005980139445,2.732501495034861,10.930005980139445
1,cv-single,400,1.0,0.010930005980139445,10.930005980139445,10.930005980139445
1,cv-overfit,400,0.9773104736883416,1e-05,1e-05,11.05717823170779
1,oracle,400,0.9021019653195813,1e-05,2.7642945579269473,11.05717823170779
1,theory-1,400,0.9281703792199434,-1.0,6.771878063721592,-1.0
1,theory-2,400,1.0,-1.0,13.543756127443183,-1.0
1,theory-3,400,1.0,-1.0,20.315634191164776,-1.0
1,cv,500,0.835030791518348,0.011867936604053178,2.9669841510132944,11.867936604053178
1,cv-refit,500,0.8512267950980941,0.011867936604053178,2.9669841510132944,11.867936604053178
1,cv-single,500,0.8898511053247063,0.011867936604053178,2.9669841510132944,11.867936604053178
1,cv-overfit,500,0.9325609129981287,1e-05,1e-05,11.92382982116703
1,oracle,500,0.8506816593754595,1e-05,2.9809574552917577,11.92382982116703
1,theory-1,500,0.8819894276029268,-1.0,7.292665358317281,-1.0
1,theory-2,500,1.0,-1.0,14.585330716634562,-1.0
1,theory-3,500,1.0,-1.0,21.877996074951845,-1.0
1,cv,600,0.8440118611942419,0.015044152403861269,7.522076201930634,15.044152403861268
1,cv-refit,600,0.8197487356178152,0.015044152403861269,7.522076201930634,15.044152403861268
1,cv-single,600,0.8465188851138465,0.015044152403861269,7.522076201930634,15.044152403861268
1,cv-overfit,600,0.88087552834395,1e-05,1e-05,15.083438386777654
1,oracle,600,0.7838279980058169,1e-05,3.7708595966944136,15.083438386777654
1,theory-1,600,0.828643180344888,-1.0,7.8541197177909545,-1.0
1,theory-2,600,1.0,-1.0,15.708239435581909,-1.0
1,theory-3,600,1.0,-1.0,23.562359153372864,-1.0
1,cv,700,0.8101694734170657,0.016680600334391425,8.340300167195712,16.680600334391425
1,cv-refit,700,0.7846208222139677,0.016680600334391425,8.340300167195712,16.680600334391425
1,cv-single,700,0.8499414323596456,0.016680600334391425,8.340300167195712,16.680600334391425
1,cv-overfit,700,0.8560802570468645,1e-05,1e-05,16.916376940027064
1,oracle,700,0.747460943856578,1e-05,4.229094235006766,16.916376940027064
1,theory-1,700,0.7846774562811377,-1.0,8.342876720939874,-1.0
1,theory-2,700,0.9978336037950415,-1.0,16.685753441879747,-1.0
1,theory-3,700,1.0,-1.0,25.02863016281962,-1.0
1,cv,800,0.6865423828218785,0.019465812299750626,4.866453074937656,19.465812299750624
1,cv-refit,800,0.6905227876030072,0.019465812299750626,4.866453074937656,19.465812299750624
1,cv-single,800,0.8001344203830876,0.019465812299750626,9.732906149875312,19.465812299750624
1,cv-overfit,800,0.8057642823205459,1e-05,1e-05,19.937449767666877
1,oracle,800,0.6901865129690841,1e-05,4.984362441916719,19.937449767666877
1,theory-1,800,0.7401713498361224,-1.0,8.84498964555346,-1.0
1,theory-2,800,0.972150435523561,-1.0,17.68997929110692,-1.0
1,theory-3,800,1.0,-1.0,26.534968936660377,-1.0
1,cv,900,0.7727180975209319,0.02029688641028737,10.148443205143685,20.29688641028737
1,cv-refit,900,0.7434892307109808,0.02029688641028737,10.148443205143685,20.29688641028737
1,cv-single,900,0.6996579216049976,0.02029688641028737,5.074221602571843,20.29688641028737
1,cv-overfit,900,0.7854952144553928,1e-05,1e-05,20.728237474970594
1,oracle,900,0.6685775030975242,1e-05,5.182059368742649,20.728237474970594
1,theory-1,900,0.7220863964438312,-1.0,9.290065733229126,-1.0
1,theory-2,900,0.9699786019487774,-1.0,18.58013146645825,-1.0
1,theory-3,900,1.0,-1.0,27.870197199687375,-1.0
1,cv,1000,0.7619275370471337,0.021614264902935998,10.807132451467998,21.614264902935997
1,cv-refit,1000,0.7322402615355088,0.021614264902935998,10.807132451467998,21.614264902935997
1,cv-single,1000,0.6602794066480504,0.021614264902935998,5.403566225733999,21.614264902935997
1,cv-overfit,1000,0.7607842205001478,1e-05,1e-05,21.818452374265746
1,oracle,1000,0.6463694562965325,1e-05,5.4546130935664365,21.818452374265746
1,theory-1,1000,0.7067569038698108,-1.0,9.759825457785928,-1.0
1,theory-2,1000,0.9656372974247911,-1.0,19.519650915571855,-1.0
1,theory-3,1000,1.0,-1.0,29.27947637335778,-1.0
2,cv,100,1.0,0.006940731359465817,6.940731359465817,6.940731359465817
2,cv-refit,100,1.0,0.006940731359465817,6.940731359465817,6.940731359465817
2,cv-single,100,1.0,0.006940731359465817,6.940731359465817,6.940731359465817
2,cv-overfit,100,1.0319922895675149,1e-05,1e-05,6.9252525781691
2,oracle,100,0.9984282885253747,1e-05,3.46262628908455,6.9252525781691
2,theory-1,100,0.9963456193496317,-1.0,4.272449755491871,-1.0
2,theory-2,100,1.0,-1.0,8.544899510983742,-1.0
2,theory-3,100,1.0,-1.0,12.817349266475613,-1.0
2,cv,200,0.9838196436894944,0.009078187356943674,4.539093678471837,9.078187356943674
2,cv-refit,200,0.9892780319351665,0.009078187356943674,4.539093678471837,9.078187356943674
2,cv-single,200,0.9916848844992421,0.009078187356943674,4.539093678471837,9.078187356943674
2,cv-overfit,200,1.0727573445092575,1e-05,1e-05,9.109323026052625
2,oracle,200,0.9890056598369833,1e-05,4.554661513026312,9.109323026052625
2,theory-1,200,0.988115082984871,-1.0,5.341242373411481,-1.0
2,theory-2,200,1.0,-1.0,10.682484746822961,-1.0
2,theory-3,200,1.0,-1.0,16.02372712023444,-1.0
2,cv,300,1.0,0.009986968456372697,9.986968456372697,9.986968456372697
2,cv-refit,300,0.9999753493144399,0.009986968456372697,9.986968456372697,9.986968456372697
2,cv-single,300,1.0,0.009986968456372697,9.986968456372697,9.986968456372697
