seed,name,n_sample,error,alpha_min,alpha_opt,alpha_max
1,cv,100,0.93865685815194,0.006516637861124088,0.20364493316012774,6.516637861124088
1,cv-refit,100,0.9400877032913116,0.006516637861124088,0.20364493316012774,6.516637861124088
1,cv-single,100,0.9502437790858248,0.006516637861124088,1.629159465281022,6.516637861124088
1,cv-overfit,100,0.9419437095212472,1e-05,1e-05,6.516841987950393
1,oracle,100,0.9378733271462352,1e-05,0.8146052484937991,6.516841987950393
1,theory-1,100,0.9537067422321356,-1.0,2.168629218202912,-1.0
1,theory-2,100,0.9837209624512503,-1.0,4.337258436405824,-1.0
1,theory-3,100,0.9999429646026416,-1.0,6.505887654608736,-1.0
1,cv,200,0.7582091390590258,0.007837806476683841,0.9797258095854801,7.8378064766838405
1,cv-refit,200,0.7374782135414205,0.007837806476683841,0.9797258095854801,7.8378064766838405
1,cv-single,200,0.793787463386677,0.007837806476683841,1.9594516191709601,7.8378064766838405
1,cv-overfit,200,0.7439011337207978,1e-05,1e-05,7.85030325955081
1,oracle,200,0.7375205304862352,1e-05,0.9812879074438513,7.85030325955081
1,theory-1,200,0.7742346542440401,-1.0,2.642025901732856,-1.0
1,theory-2,200,0.9354457478356083,-1.0,5.284051803465712,-1.0
1,theory-3,200,1.0,-1.0,7.926077705198567,-1.0
1,cv,300,0.5958062690594436,0.010952430774077475,1.3690538467596842,10.952430774077474
1,cv-refit,300,0.5683048325015269,0.010952430774077475,1.3690538467596842,10.952430774077474
1,cv-single,300,0.6449843819107145,0.010952430774077475,1.3690538467596842,10.952430774077474
1,cv-overfit,300,0.5854960599373864,1e-05,1e-05,11.037127743811839
1,oracle,300,0.5683417121537427,1e-05,1.3796409679764798,11.037127743811839
1,theory-1,300,0.5991872031499547,-1.0,3.027541910511134,-1.0
1,theory-2,300,0.8220758127668006,-1.0,6.055083821022268,-1.0
1,theory-3,300,0.9631671717024967,-1.0,9.082625731533401,-1.0
1,cv,400,0.47205154278399014,0.011978310619825188,1.4972888274781486,11.978310619825189
1,cv-refit,400,0.43868281297431005,0.011978310619825188,1.4972888274781486,11.978310619825189
1,cv-single,400,0.5051740373198925,0.011978310619825188,1.4972888274781486,11.978310619825189
1,cv-overfit,400,0.45873800007770416,1e-05,1e-05,12.24497747442297
1,oracle,400,0.43936605413455143,1e-05,1.5306221843028713,12.24497747442297
1,theory-1,400,0.4867839473870193,-1.0,3.3482904063081627,-1.0
1,theory-2,400,0.7738011849386048,-1.0,6.696580812616325,-1.0
1,theory-3,400,0.9363162665577173,-1.0,10.044871218924488,-1.0
1,cv,500,0.30890136768257576,0.013908550457837471,1.7385688072296839,13.908550457837471
1,cv-refit,500,0.2765491809254677,0.013908550457837471,1.7385688072296839,13.908550457837471
1,cv-single,500,0.31704997788664835,0.013908550457837471,1.7385688072296839,13.908550457837471
