seed,name,n_sample,error,alpha_min,alpha_opt,alpha_max
1,cv,100,0.9920109493780372,0.007757349895449573,0.4848343684655983,7.757349895449573
1,cv-refit,100,0.9930537866333543,0.007757349895449573,0.4848343684655983,7.757349895449573
1,cv-single,100,0.9941910303019027,0.007757349895449573,0.007757349895449573,7.757349895449573
1,cv-overfit,100,0.9940864255316217,1e-05,1e-05,7.757349895452271
1,oracle,100,0.9925123274552715,1e-05,1.9393374738630678,7.757349895452271
1,theory-1,100,0.9953147952683096,-1.0,3.802061461579828,-1.0
1,theory-2,100,0.9999251120902951,-1.0,7.604122923159656,-1.0
1,theory-3,100,1.0,-1.0,11.406184384739483,-1.0
1,cv,200,0.984269724797204,0.010482517464868593,0.6551573415542871,10.482517464868593
1,cv-refit,200,0.9904678078254516,0.010482517464868593,0.6551573415542871,10.482517464868593
1,cv-single,200,0.9923525300527686,0.010482517464868593,0.010482517464868593,10.482517464868593
1,cv-overfit,200,0.9925541530234989,1e-05,1e-05,10.482529436473854
1,oracle,200,0.9866166618287923,1e-05,2.6206323591184635,10.482529436473854
1,theory-1,200,0.9874916548657577,-1.0,4.510413537043322,-1.0
1,theory-2,200,0.9988290106675133,-1.0,9.020827074086643,-1.0
1,theory-3,200,1.0,-1.0,13.531240611129965,-1.0
1,cv,300,0.985056692629439,0.011159905655803553,5.579952827901777,11.159905655803554
1,cv-refit,300,0.9849630253758145,0.011159905655803553,5.579952827901777,11.159905655803554
1,cv-single,300,1.0,0.011159905655803553,11.159905655803554,11.159905655803554
1,cv-overfit,300,0.9841701051726522,1e-05,1e-05,11.160779992777549
1,oracle,300,0.9763915104279329,1e-05,2.790194998194387,11.160779992777549
1,theory-1,300,0.9854571533277623,-1.0,5.046918735956751,-1.0
1,theory-2,300,0.9989240997234787,-1.0,10.093837471913503,-1.0
1,theory-3,300,1.0,-1.0,15.140756207870254,-1.0
1,cv,400,0.9532771335767168,0.011705153134978016,2.926288283744504,11.705153134978016
1,cv-refit,400,0.9580977759614658,0.011705153134978016,2.926288283744504,11.705153134978016
1,cv-single,400,0.9832421751445766,0.011705153134978016,0.022861627216753937,11.705153134978016
1,cv-overfit,400,0.9750592830986781,1e-05,1e-05,11.707990426177547
1,oracle,400,0.9580085070981196,1e-05,2.926997606544387,11.707990426177547
1,theory-1,400,0.964578530656064,-1.0,5.464684047766908,-1.0
1,theory-2,400,0.9993012652180152,-1.0,10.929368095533816,-1.0
1,theory-3,400,1.0,-1.0,16.394052143300723,-1.0
1,cv,500,0.9077550932487549,0.014001457249039034,1.7501821561298792,14.001457249039033
1,cv-refit,500,0.9095965797756176,0.014001457249039034,1.7501821561298792,14.001457249039033
1,cv-single,500,1.0,0.014001457249039034,14.001457249039033,14.001457249039033
1,cv-overfit,500,0.924171303976202,1e-05,1e-05,14.020907777891535
1,oracle,500,0.8995261604837219,1e-05,3.505226944472884,14.020907777891535
1,theory-1,500,0.9084696295787622,-1.0,5.866607936627171,-1.0
1,theory-2,500,0.9935161005632397,-1.0,11.733215873254341,-1.0
1,theory-3,500,1.0,-1.0,17.599823809881514,-1.0
1,cv,600,0.8919357302827055,0.0149767031997927,3.744175799948175,14.9767031997927
1,cv-refit,600,0.8863814531824893,0.0149767031997927,3.744175799948175,14.9767031997927
1,cv-single,600,0.9332062742952159,0.0149767031997927,0.0149767031997927,14.9767031997927
1,cv-overfit,600,0.906170675998458,1e-05,1e-05,15.05912461448559
1,oracle,600,0.8863151350816376,1e-05,3.7647811536213975,15.05912461448559
1,theory-1,600,0.8992361278379636,-1.0,6.210822535378394,-1.0
1,theory-2,600,1.0015528767812336,-1.0,12.421645070756789,-1.0
1,theory-3,600,1.0,-1.0,18.632467606135183,-1.0
1,cv,700,0.8306272917193298,0.015328160544388491,3.8320401360971226,15.32816054438849
1,cv-refit,700,0.8075268064570759,0.015328160544388491,3.8320401360971226,15.32816054438849
1,cv-single,700,0.853639439766157,0.015328160544388491,0.9580100340242806,15.32816054438849
1,cv-overfit,700,0.8223087973280577,1e-05,1e-05,15.435752305356944
1,oracle,700,0.8069081909308541,1e-05,1.929469038169618,15.435752305356944
1,theory-1,700,0.8450934919449441,-1.0,6.519970890154756,-1.0
1,theory-2,700,0.9815103345462214,-1.0,13.039941780309512,-1.0
1,theory-3,700,1.0,-1.0,19.559912670464268,-1.0
1,cv,800,0.7824808639280125,0.016397600978700612,2.0497001223375766,16.397600978700613
1,cv-refit,800,0.7709615647313274,0.016397600978700612,2.0497001223375766,16.397600978700613
1,cv-single,800,0.801187704772736,0.016397600978700612,4.099400244675153,16.397600978700613
1,cv-overfit,800,0.7906215672367011,1e-05,1e-05,16.445535596092277
1,oracle,800,0.7706792866188978,1e-05,4.111383899023069,16.445535596092277
1,theory-1,800,0.8069338728546239,-1.0,6.850615532695026,-1.0
1,theory-2,800,0.9733130753943458,-1.0,13.701231065390052,-1.0
1,theory-3,800,1.0,-1.0,20.551846598085078,-1.0
